LocationType,Location,TimeFrame,DataFormat,Data
State,Ohio,2001,Number,36487
State,Ohio,2002,Number,36314
State,Ohio,2003,Number,34008
State,Ohio,2004,Number,31684
State,Ohio,2005,Number,30242
State,Ohio,2006,Number,29669
State,Ohio,2008,Number,25230
State,Ohio,2007,Number,27178
State,Ohio,2009,Number,23785
State,Ohio,2010,Number,21697
State,Ohio,2011,Number,22304
State,Ohio,2012,Number,21994
State,Ohio,2012,Rate,8.3
State,Ohio,2013,Number,22448
State,Ohio,2013,Rate,8.5
State,Ohio,2014,Number,22135
State,Ohio,2014,Rate,8.4
State,Ohio,2016,Number,24255
State,Ohio,2016,Rate,9.28538
State,Ohio,2015,Number,22970
State,Ohio,2015,Rate,8.7
State,Ohio,2017,Number,26324
State,Ohio,2017,Rate,10.10427
County,Adams,2001,Number,86
County,Adams,2002,Number,74
County,Adams,2003,Number,74
County,Adams,2004,Number,100
County,Adams,2005,Number,90
County,Adams,2006,Number,123
County,Adams,2008,Number,114
County,Adams,2007,Number,113
County,Adams,2009,Number,71
County,Adams,2010,Number,59
County,Adams,2011,Number,92
County,Adams,2012,Number,109
County,Adams,2012,Rate,15.7
County,Adams,2013,Number,101
County,Adams,2013,Rate,14.7
County,Adams,2014,Number,119
County,Adams,2014,Rate,17.2
County,Adams,2016,Number,114
County,Adams,2016,Rate,16.9416
County,Adams,2015,Number,99
County,Adams,2015,Rate,14.5
County,Adams,2017,Number,122
County,Adams,2017,Rate,18.27442
County,Allen,2001,Number,211
County,Allen,2002,Number,203
County,Allen,2003,Number,210
County,Allen,2004,Number,235
County,Allen,2005,Number,239
County,Allen,2006,Number,220
County,Allen,2008,Number,235
County,Allen,2007,Number,240
County,Allen,2009,Number,200
County,Allen,2010,Number,183
County,Allen,2011,Number,181
County,Allen,2012,Number,159
County,Allen,2012,Rate,6.4
County,Allen,2013,Number,147
County,Allen,2013,Rate,6
County,Allen,2014,Number,151
County,Allen,2014,Rate,6.2
County,Allen,2016,Number,199
County,Allen,2016,Rate,8.2313
County,Allen,2015,Number,166
County,Allen,2015,Rate,6.8
County,Allen,2017,Number,148
County,Allen,2017,Rate,6.19325
County,Ashland,2001,Number,74
County,Ashland,2002,Number,82
County,Ashland,2003,Number,89
County,Ashland,2004,Number,88
County,Ashland,2005,Number,96
County,Ashland,2006,Number,111
County,Ashland,2008,Number,106
County,Ashland,2007,Number,102
County,Ashland,2009,Number,113
County,Ashland,2010,Number,130
County,Ashland,2011,Number,135
County,Ashland,2012,Number,129
County,Ashland,2012,Rate,10.6
County,Ashland,2013,Number,132
County,Ashland,2013,Rate,10.8
County,Ashland,2014,Number,109
County,Ashland,2014,Rate,8.9
County,Ashland,2016,Number,131
County,Ashland,2016,Rate,10.74123
County,Ashland,2015,Number,125
County,Ashland,2015,Rate,10.2
County,Ashland,2017,Number,152
County,Ashland,2017,Rate,12.45391
County,Ashtabula,2001,Number,292
County,Ashtabula,2002,Number,262
County,Ashtabula,2003,Number,254
County,Ashtabula,2004,Number,251
County,Ashtabula,2005,Number,257
County,Ashtabula,2006,Number,260
County,Ashtabula,2008,Number,199
County,Ashtabula,2007,Number,225
County,Ashtabula,2009,Number,185
County,Ashtabula,2010,Number,188
County,Ashtabula,2011,Number,224
County,Ashtabula,2012,Number,242
County,Ashtabula,2012,Rate,10.5
County,Ashtabula,2013,Number,267
County,Ashtabula,2013,Rate,11.8
County,Ashtabula,2014,Number,254
County,Ashtabula,2014,Rate,11.4
County,Ashtabula,2016,Number,361
County,Ashtabula,2016,Rate,16.51796
County,Ashtabula,2015,Number,256
County,Ashtabula,2015,Rate,11.6
County,Ashtabula,2017,Number,421
County,Ashtabula,2017,Rate,19.39913
County,Athens,2001,Number,167
County,Athens,2002,Number,195
County,Athens,2003,Number,180
County,Athens,2004,Number,180
County,Athens,2005,Number,169
County,Athens,2006,Number,161
County,Athens,2008,Number,180
County,Athens,2007,Number,167
County,Athens,2009,Number,156
County,Athens,2010,Number,179
County,Athens,2011,Number,125
County,Athens,2012,Number,129
County,Athens,2012,Rate,12.8
County,Athens,2013,Number,122
County,Athens,2013,Rate,12.4
County,Athens,2014,Number,137
County,Athens,2014,Rate,13.6
County,Athens,2016,Number,178
County,Athens,2016,Rate,18.10968
County,Athens,2015,Number,145
County,Athens,2015,Rate,14.7
County,Athens,2017,Number,181
County,Athens,2017,Rate,18.69835
County,Auglaize,2001,Number,63
County,Auglaize,2002,Number,47
County,Auglaize,2003,Number,50
County,Auglaize,2004,Number,36
County,Auglaize,2005,Number,18
County,Auglaize,2006,Number,28
County,Auglaize,2008,Number,16
County,Auglaize,2007,Number,25
County,Auglaize,2009,Number,9
County,Auglaize,2010,Number,12
County,Auglaize,2011,Number,15
County,Auglaize,2012,Number,23
County,Auglaize,2012,Rate,2
County,Auglaize,2013,Number,17
County,Auglaize,2013,Rate,1.5
County,Auglaize,2014,Number,21
County,Auglaize,2014,Rate,1.9
County,Auglaize,2016,Number,12
County,Auglaize,2016,Rate,1.08676
County,Auglaize,2015,Number,17
County,Auglaize,2015,Rate,1.5
County,Auglaize,2017,Number,17
County,Auglaize,2017,Rate,1.5285
County,Belmont,2001,Number,139
County,Belmont,2002,Number,120
County,Belmont,2003,Number,118
County,Belmont,2004,Number,112
County,Belmont,2005,Number,108
County,Belmont,2006,Number,106
County,Belmont,2008,Number,94
County,Belmont,2007,Number,94
County,Belmont,2009,Number,87
County,Belmont,2010,Number,87
County,Belmont,2011,Number,91
County,Belmont,2012,Number,72
County,Belmont,2012,Rate,5.4
County,Belmont,2013,Number,77
County,Belmont,2013,Rate,5.8
County,Belmont,2014,Number,92
County,Belmont,2014,Rate,6.9
County,Belmont,2016,Number,84
County,Belmont,2016,Rate,6.42497
County,Belmont,2015,Number,90
County,Belmont,2015,Rate,6.8
County,Belmont,2017,Number,66
County,Belmont,2017,Rate,5.10007
County,Brown,2001,Number,133
County,Brown,2002,Number,103
County,Brown,2003,Number,109
County,Brown,2004,Number,120
County,Brown,2005,Number,129
County,Brown,2006,Number,133
County,Brown,2008,Number,125
County,Brown,2007,Number,107
County,Brown,2009,Number,96
County,Brown,2010,Number,93
County,Brown,2011,Number,99
County,Brown,2012,Number,144
County,Brown,2012,Rate,13.6
County,Brown,2013,Number,177
County,Brown,2013,Rate,16.9
County,Brown,2014,Number,154
County,Brown,2014,Rate,14.9
County,Brown,2016,Number,121
County,Brown,2016,Rate,12.0602
County,Brown,2015,Number,183
County,Brown,2015,Rate,18
County,Brown,2017,Number,130
County,Brown,2017,Rate,12.97405
County,Butler,2001,Number,680
County,Butler,2002,Number,726
County,Butler,2003,Number,658
County,Butler,2004,Number,608
County,Butler,2005,Number,683
County,Butler,2006,Number,759
County,Butler,2008,Number,1027
County,Butler,2007,Number,953
County,Butler,2009,Number,901
County,Butler,2010,Number,595
County,Butler,2011,Number,633
County,Butler,2012,Number,647
County,Butler,2012,Rate,7.1
County,Butler,2013,Number,707
County,Butler,2013,Rate,7.8
County,Butler,2014,Number,668
County,Butler,2014,Rate,7.4
County,Butler,2016,Number,595
County,Butler,2016,Rate,6.61957
County,Butler,2015,Number,596
County,Butler,2015,Rate,6.6
County,Butler,2017,Number,541
County,Butler,2017,Rate,6.00371
County,Carroll,2001,Number,19
County,Carroll,2002,Number,27
County,Carroll,2003,Number,31
County,Carroll,2004,Number,30
County,Carroll,2005,Number,29
County,Carroll,2006,Number,23
County,Carroll,2008,Number,15
County,Carroll,2007,Number,28
County,Carroll,2009,Number,16
County,Carroll,2010,Number,14
County,Carroll,2011,Number,14
County,Carroll,2012,Number,10
County,Carroll,2012,Rate,1.6
County,Carroll,2013,Number,16
County,Carroll,2013,Rate,2.6
County,Carroll,2014,Number,17
County,Carroll,2014,Rate,2.8
County,Carroll,2016,Number,13
County,Carroll,2016,Rate,2.23406
County,Carroll,2015,Number,19
County,Carroll,2015,Rate,3.2
County,Carroll,2017,Number,12
County,Carroll,2017,Rate,2.08623
County,Champaign,2001,Number,48
County,Champaign,2002,Number,50
County,Champaign,2003,Number,52
County,Champaign,2004,Number,49
County,Champaign,2005,Number,39
County,Champaign,2006,Number,27
County,Champaign,2008,Number,27
County,Champaign,2007,Number,24
County,Champaign,2009,Number,25
County,Champaign,2010,Number,13
County,Champaign,2011,Number,16
County,Champaign,2012,Number,20
County,Champaign,2012,Rate,2.1
County,Champaign,2013,Number,19
County,Champaign,2013,Rate,2
County,Champaign,2014,Number,15
County,Champaign,2014,Rate,1.6
County,Champaign,2016,Number,23
County,Champaign,2016,Rate,2.60623
County,Champaign,2015,Number,16
County,Champaign,2015,Rate,1.8
County,Champaign,2017,Number,33
County,Champaign,2017,Rate,3.77661
County,Clark,2001,Number,436
County,Clark,2002,Number,431
County,Clark,2003,Number,356
County,Clark,2004,Number,298
County,Clark,2005,Number,317
County,Clark,2006,Number,315
County,Clark,2008,Number,280
County,Clark,2007,Number,305
County,Clark,2009,Number,270
County,Clark,2010,Number,214
County,Clark,2011,Number,205
County,Clark,2012,Number,196
County,Clark,2012,Rate,6.2
County,Clark,2013,Number,187
County,Clark,2013,Rate,6
County,Clark,2014,Number,185
County,Clark,2014,Rate,5.9
County,Clark,2016,Number,185
County,Clark,2016,Rate,6.03609
County,Clark,2015,Number,198
County,Clark,2015,Rate,6.4
County,Clark,2017,Number,179
County,Clark,2017,Rate,5.88525
County,Clermont,2001,Number,344
County,Clermont,2002,Number,381
County,Clermont,2003,Number,449
County,Clermont,2004,Number,486
County,Clermont,2005,Number,535
County,Clermont,2006,Number,527
County,Clermont,2008,Number,526
County,Clermont,2007,Number,545
County,Clermont,2009,Number,464
County,Clermont,2010,Number,492
County,Clermont,2011,Number,489
County,Clermont,2012,Number,506
County,Clermont,2012,Rate,10.2
County,Clermont,2013,Number,569
County,Clermont,2013,Rate,11.6
County,Clermont,2014,Number,524
County,Clermont,2014,Rate,10.7
County,Clermont,2016,Number,354
County,Clermont,2016,Rate,7.38839
County,Clermont,2015,Number,452
County,Clermont,2015,Rate,9.4
County,Clermont,2017,Number,295
County,Clermont,2017,Rate,6.19072
County,Clinton,2001,Number,66
County,Clinton,2002,Number,69
County,Clinton,2003,Number,68
County,Clinton,2004,Number,106
County,Clinton,2005,Number,107
County,Clinton,2006,Number,74
County,Clinton,2008,Number,68
County,Clinton,2007,Number,73
County,Clinton,2009,Number,60
County,Clinton,2010,Number,76
County,Clinton,2011,Number,82
County,Clinton,2012,Number,81
County,Clinton,2012,Rate,8
County,Clinton,2013,Number,93
County,Clinton,2013,Rate,9.2
County,Clinton,2014,Number,85
County,Clinton,2014,Rate,8.5
County,Clinton,2016,Number,86
County,Clinton,2016,Rate,8.67023
County,Clinton,2015,Number,81
County,Clinton,2015,Rate,8.2
County,Clinton,2017,Number,126
County,Clinton,2017,Rate,12.86371
County,Columbiana,2001,Number,132
County,Columbiana,2002,Number,166
County,Columbiana,2003,Number,176
County,Columbiana,2004,Number,159
County,Columbiana,2005,Number,164
County,Columbiana,2006,Number,191
County,Columbiana,2008,Number,232
County,Columbiana,2007,Number,173
County,Columbiana,2009,Number,188
County,Columbiana,2010,Number,138
County,Columbiana,2011,Number,123
County,Columbiana,2012,Number,112
County,Columbiana,2012,Rate,5
County,Columbiana,2013,Number,108
County,Columbiana,2013,Rate,4.9
County,Columbiana,2014,Number,114
County,Columbiana,2014,Rate,5.2
County,Columbiana,2016,Number,131
County,Columbiana,2016,Rate,6.10097
County,Columbiana,2015,Number,116
County,Columbiana,2015,Rate,5.3
County,Columbiana,2017,Number,137
County,Columbiana,2017,Rate,6.48122
County,Coshocton,2001,Number,56
County,Coshocton,2002,Number,49
County,Coshocton,2003,Number,40
County,Coshocton,2004,Number,44
County,Coshocton,2005,Number,32
County,Coshocton,2006,Number,28
County,Coshocton,2008,Number,32
County,Coshocton,2007,Number,30
County,Coshocton,2009,Number,30
County,Coshocton,2010,Number,29
County,Coshocton,2011,Number,40
County,Coshocton,2012,Number,34
County,Coshocton,2012,Rate,4
County,Coshocton,2013,Number,31
County,Coshocton,2013,Rate,3.6
County,Coshocton,2014,Number,35
County,Coshocton,2014,Rate,4.1
County,Coshocton,2016,Number,45
County,Coshocton,2016,Rate,5.18852
County,Coshocton,2015,Number,31
County,Coshocton,2015,Rate,3.6
County,Coshocton,2017,Number,55
County,Coshocton,2017,Rate,6.36648
County,Crawford,2001,Number,120
County,Crawford,2002,Number,125
County,Crawford,2003,Number,83
County,Crawford,2004,Number,108
County,Crawford,2005,Number,111
County,Crawford,2006,Number,121
County,Crawford,2008,Number,110
County,Crawford,2007,Number,111
County,Crawford,2009,Number,72
County,Crawford,2010,Number,67
County,Crawford,2011,Number,75
County,Crawford,2012,Number,84
County,Crawford,2012,Rate,8.7
County,Crawford,2013,Number,103
County,Crawford,2013,Rate,10.8
County,Crawford,2014,Number,108
County,Crawford,2014,Rate,11.6
County,Crawford,2016,Number,91
County,Crawford,2016,Rate,9.89453
County,Crawford,2015,Number,118
County,Crawford,2015,Rate,12.7
County,Crawford,2017,Number,102
County,Crawford,2017,Rate,11.27196
County,Cuyahoga,2001,Number,9306
County,Cuyahoga,2002,Number,8946
County,Cuyahoga,2003,Number,7268
County,Cuyahoga,2004,Number,5727
County,Cuyahoga,2005,Number,4814
County,Cuyahoga,2006,Number,4265
County,Cuyahoga,2008,Number,3241
County,Cuyahoga,2007,Number,3606
County,Cuyahoga,2009,Number,2923
County,Cuyahoga,2010,Number,2847
County,Cuyahoga,2011,Number,3088
County,Cuyahoga,2012,Number,3001
County,Cuyahoga,2012,Rate,10.8
County,Cuyahoga,2013,Number,2697
County,Cuyahoga,2013,Rate,9.8
County,Cuyahoga,2014,Number,2670
County,Cuyahoga,2014,Rate,9.8
County,Cuyahoga,2016,Number,2939
County,Cuyahoga,2016,Rate,11.10108
County,Cuyahoga,2015,Number,2825
County,Cuyahoga,2015,Rate,10.5
County,Cuyahoga,2017,Number,3294
County,Cuyahoga,2017,Rate,12.62137
County,Darke,2001,Number,75
County,Darke,2002,Number,62
County,Darke,2003,Number,50
County,Darke,2004,Number,69
County,Darke,2005,Number,87
County,Darke,2006,Number,96
County,Darke,2008,Number,67
County,Darke,2007,Number,79
County,Darke,2009,Number,71
County,Darke,2010,Number,67
County,Darke,2011,Number,53
County,Darke,2012,Number,49
County,Darke,2012,Rate,3.8
County,Darke,2013,Number,45
County,Darke,2013,Rate,3.5
County,Darke,2014,Number,48
County,Darke,2014,Rate,3.8
County,Darke,2016,Number,57
County,Darke,2016,Rate,4.58531
County,Darke,2015,Number,56
County,Darke,2015,Rate,4.4
County,Darke,2017,Number,49
County,Darke,2017,Rate,3.99674
County,Defiance,2001,Number,48
County,Defiance,2002,Number,35
County,Defiance,2003,Number,25
County,Defiance,2004,Number,23
County,Defiance,2005,Number,43
County,Defiance,2006,Number,55
County,Defiance,2008,Number,65
County,Defiance,2007,Number,63
County,Defiance,2009,Number,68
County,Defiance,2010,Number,49
County,Defiance,2011,Number,48
County,Defiance,2012,Number,43
County,Defiance,2012,Rate,4.6
County,Defiance,2013,Number,43
County,Defiance,2013,Rate,4.7
County,Defiance,2014,Number,56
County,Defiance,2014,Rate,6.2
County,Defiance,2016,Number,58
County,Defiance,2016,Rate,6.59466
County,Defiance,2015,Number,72
County,Defiance,2015,Rate,8
County,Defiance,2017,Number,47
County,Defiance,2017,Rate,5.35613
County,Delaware,2001,Number,107
County,Delaware,2002,Number,125
County,Delaware,2003,Number,150
County,Delaware,2004,Number,124
County,Delaware,2005,Number,123
County,Delaware,2006,Number,151
County,Delaware,2008,Number,137
County,Delaware,2007,Number,129
County,Delaware,2009,Number,125
County,Delaware,2010,Number,91
County,Delaware,2011,Number,60
County,Delaware,2012,Number,49
County,Delaware,2012,Rate,1
County,Delaware,2013,Number,64
County,Delaware,2013,Rate,1.2
County,Delaware,2014,Number,60
County,Delaware,2014,Rate,1.2
County,Delaware,2016,Number,69
County,Delaware,2016,Rate,1.2978
County,Delaware,2015,Number,56
County,Delaware,2015,Rate,1.1
County,Delaware,2017,Number,60
County,Delaware,2017,Rate,1.11568
County,Erie,2001,Number,320
County,Erie,2002,Number,256
County,Erie,2003,Number,197
County,Erie,2004,Number,216
County,Erie,2005,Number,192
County,Erie,2006,Number,179
County,Erie,2008,Number,196
County,Erie,2007,Number,196
County,Erie,2009,Number,145
County,Erie,2010,Number,112
County,Erie,2011,Number,104
County,Erie,2012,Number,130
County,Erie,2012,Rate,8
County,Erie,2013,Number,170
County,Erie,2013,Rate,10.6
County,Erie,2014,Number,166
County,Erie,2014,Rate,10.4
County,Erie,2016,Number,174
County,Erie,2016,Rate,11.26141
County,Erie,2015,Number,199
County,Erie,2015,Rate,12.7
County,Erie,2017,Number,180
County,Erie,2017,Rate,11.74628
County,Fairfield,2001,Number,235
County,Fairfield,2002,Number,259
County,Fairfield,2003,Number,282
County,Fairfield,2004,Number,303
County,Fairfield,2005,Number,269
County,Fairfield,2006,Number,287
County,Fairfield,2008,Number,314
County,Fairfield,2007,Number,299
County,Fairfield,2009,Number,297
County,Fairfield,2010,Number,244
County,Fairfield,2011,Number,316
County,Fairfield,2012,Number,287
County,Fairfield,2012,Rate,7.7
County,Fairfield,2013,Number,317
County,Fairfield,2013,Rate,8.6
County,Fairfield,2014,Number,285
County,Fairfield,2014,Rate,7.7
County,Fairfield,2016,Number,302
County,Fairfield,2016,Rate,8.25723
County,Fairfield,2015,Number,275
County,Fairfield,2015,Rate,7.5
County,Fairfield,2017,Number,253
County,Fairfield,2017,Rate,6.79031
County,Fayette,2001,Number,26
County,Fayette,2002,Number,50
County,Fayette,2003,Number,51
County,Fayette,2004,Number,63
County,Fayette,2005,Number,65
County,Fayette,2006,Number,65
County,Fayette,2008,Number,91
County,Fayette,2007,Number,80
County,Fayette,2009,Number,81
County,Fayette,2010,Number,91
County,Fayette,2011,Number,75
County,Fayette,2012,Number,57
County,Fayette,2012,Rate,8.2
County,Fayette,2013,Number,73
County,Fayette,2013,Rate,10.6
County,Fayette,2014,Number,65
County,Fayette,2014,Rate,9.4
County,Fayette,2016,Number,83
County,Fayette,2016,Rate,12.36223
County,Fayette,2015,Number,60
County,Fayette,2015,Rate,8.8
County,Fayette,2017,Number,107
County,Fayette,2017,Rate,15.73298
County,Franklin,2001,Number,5978
County,Franklin,2002,Number,6319
County,Franklin,2003,Number,6309
County,Franklin,2004,Number,6093
County,Franklin,2005,Number,5953
County,Franklin,2006,Number,6008
County,Franklin,2008,Number,3718
County,Franklin,2007,Number,4380
County,Franklin,2009,Number,4150
County,Franklin,2010,Number,3955
County,Franklin,2011,Number,3974
County,Franklin,2012,Number,3751
County,Franklin,2012,Rate,13.2
County,Franklin,2013,Number,3830
County,Franklin,2013,Rate,13.3
County,Franklin,2014,Number,3748
County,Franklin,2014,Rate,12.9
County,Franklin,2016,Number,4091
County,Franklin,2016,Rate,13.72994
County,Franklin,2015,Number,3812
County,Franklin,2015,Rate,12.9
County,Franklin,2017,Number,4253
County,Franklin,2017,Rate,14.07798
County,Fulton,2001,Number,34
County,Fulton,2002,Number,37
County,Fulton,2003,Number,44
County,Fulton,2004,Number,57
County,Fulton,2005,Number,58
County,Fulton,2006,Number,50
County,Fulton,2008,Number,34
County,Fulton,2007,Number,54
County,Fulton,2009,Number,28
County,Fulton,2010,Number,17
County,Fulton,2011,Number,30
County,Fulton,2012,Number,28
County,Fulton,2012,Rate,2.7
County,Fulton,2013,Number,39
County,Fulton,2013,Rate,3.7
County,Fulton,2014,Number,26
County,Fulton,2014,Rate,2.5
County,Fulton,2016,Number,25
County,Fulton,2016,Rate,2.4505
County,Fulton,2015,Number,25
County,Fulton,2015,Rate,2.4
County,Fulton,2017,Number,38
County,Fulton,2017,Rate,3.77246
County,Gallia,2001,Number,108
County,Gallia,2002,Number,88
County,Gallia,2003,Number,71
County,Gallia,2004,Number,46
County,Gallia,2005,Number,54
County,Gallia,2006,Number,62
County,Gallia,2008,Number,72
County,Gallia,2007,Number,68
County,Gallia,2009,Number,40
County,Gallia,2010,Number,36
County,Gallia,2011,Number,42
County,Gallia,2012,Number,34
County,Gallia,2012,Rate,4.7
County,Gallia,2013,Number,37
County,Gallia,2013,Rate,5.2
County,Gallia,2014,Number,32
County,Gallia,2014,Rate,4.6
County,Gallia,2016,Number,33
County,Gallia,2016,Rate,4.75573
County,Gallia,2015,Number,22
County,Gallia,2015,Rate,3.2
County,Gallia,2017,Number,34
County,Gallia,2017,Rate,4.92468
County,Geauga,2001,Number,70
County,Geauga,2002,Number,85
County,Geauga,2003,Number,69
County,Geauga,2004,Number,61
County,Geauga,2005,Number,74
County,Geauga,2006,Number,56
County,Geauga,2008,Number,41
County,Geauga,2007,Number,56
County,Geauga,2009,Number,56
County,Geauga,2010,Number,49
County,Geauga,2011,Number,51
County,Geauga,2012,Number,69
County,Geauga,2012,Rate,3
County,Geauga,2013,Number,91
County,Geauga,2013,Rate,4
County,Geauga,2014,Number,102
County,Geauga,2014,Rate,4.5
County,Geauga,2016,Number,115
County,Geauga,2016,Rate,5.21211
County,Geauga,2015,Number,102
County,Geauga,2015,Rate,4.6
County,Geauga,2017,Number,95
County,Geauga,2017,Rate,4.36581
County,Greene,2001,Number,197
County,Greene,2002,Number,199
County,Greene,2003,Number,213
County,Greene,2004,Number,219
County,Greene,2005,Number,244
County,Greene,2006,Number,237
