County,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018 **,2019 **
Adams,0,1,0,1,0,0,1,2,0,1,2,1,1
Allen,0,0,1,2,2,6,5,5,9,6,4,1,0
Ashland,0,1,0,1,2,0,0,1,1,1,1,0,0
Ashtabula,2,2,1,0,1,3,3,3,2,3,2,1,0
Athens,2,0,2,2,7,3,2,4,3,4,2,4,0
Auglaize,1,2,1,2,2,0,3,1,1,0,2,0,0
Belmont,0,2,2,4,1,2,0,2,3,6,0,0,1
Brown,1,2,0,3,3,0,1,2,6,4,7,2,1
Butler,12,16,25,24,36,13,17,23,31,39,34,15,2
Carroll,0,1,1,0,0,1,1,1,2,0,0,0,0
Champaign,0,0,0,1,1,1,1,2,2,1,5,0,0
Clark,7,4,5,7,13,14,14,11,11,12,28,9,3
Clermont,4,9,4,16,20,13,14,25,16,15,12,8,0
Clinton,0,1,2,0,0,4,4,2,3,4,6,2,0
Columbiana,1,1,0,1,0,2,1,4,2,1,5,3,0
Coshocton,0,1,0,0,0,1,1,1,1,0,2,0,0
Crawford,0,2,1,1,2,0,1,4,3,3,2,1,0
Cuyahoga,33,32,35,35,59,44,49,47,47,91,79,41,5
Darke,0,1,0,0,2,5,1,2,2,2,5,0,0
Defiance,1,0,1,0,2,0,2,3,4,1,0,1,0
Delaware,1,1,3,3,6,6,4,4,5,5,6,5,0
Erie,1,1,1,1,1,1,1,7,6,8,4,1,0
Fairfield,2,1,5,5,1,8,3,1,7,6,6,5,0
Fayette,1,1,2,1,0,0,0,0,3,0,4,1,1
Franklin,36,37,47,72,83,64,51,53,70,79,81,78,7
Fulton,0,1,1,4,1,2,1,4,3,2,0,0,0
Gallia,0,1,1,0,3,0,1,0,1,1,4,3,1
Geauga,1,0,2,1,2,4,4,2,6,6,6,2,1
Greene,0,3,1,2,3,3,1,3,6,5,13,4,1
Guernsey,0,0,0,1,0,0,3,4,2,3,3,0,0
Hamilton,21,20,24,30,32,41,31,51,59,65,102,39,10
Hancock,0,0,2,1,1,0,2,4,2,5,6,4,0
Hardin,1,0,1,4,1,0,3,1,5,3,0,1,1
Harrison,0,0,0,0,1,0,0,1,0,0,3,1,0
Henry,0,0,0,0,0,0,0,0,3,1,2,2,0
Highland,1,0,0,3,2,0,3,2,1,0,1,1,0
Hocking,2,1,0,2,4,1,3,2,2,2,3,3,0
Holmes,0,0,0,0,1,0,0,0,0,0,0,0,0
Huron,3,0,2,3,3,4,8,6,6,4,6,5,0
Jackson,0,1,2,3,6,2,7,4,6,4,3,0,0
Jefferson,0,1,0,1,1,2,2,0,6,3,9,3,2
Knox,2,0,3,3,7,2,4,4,3,4,1,0,0
Lake,7,6,10,16,22,20,15,13,13,15,17,11,3
Lawrence,2,4,5,6,15,7,6,4,13,8,12,5,1
Licking,2,2,2,3,1,4,5,6,2,3,11,4,0
Logan,0,2,1,1,0,2,3,1,2,2,1,1,0
Lorain,2,3,3,3,3,12,5,7,5,16,15,20,5
Lucas,13,19,19,19,16,37,30,57,37,25,30,17,0
Madison,0,0,1,5,0,2,2,3,2,4,2,4,0
Mahoning,8,16,6,23,27,18,18,18,20,23,29,25,6
Marion,2,0,1,5,5,3,7,5,7,6,8,0,0
Medina,4,2,2,4,7,6,1,2,5,9,12,4,0
Meigs,0,0,0,1,3,0,0,2,0,1,0,3,1
Mercer,0,0,0,0,1,0,1,0,2,0,0,0,0
Miami,1,6,3,1,0,0,1,6,2,2,4,4,0
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,22,20,10,13,11,6,20,23,43,38,78,21,4
Morgan,0,0,0,0,0,0,1,0,0,1,0,1,0
Morrow,0,0,0,1,1,1,2,3,0,2,1,3,2
Muskingum,2,4,2,0,0,3,3,0,1,0,0,7,5
Noble,0,1,1,0,0,0,0,0,1,1,0,0,0
NonOH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,0,0,0,0,0,0,2,2,3,1,0,1,0
Paulding,0,0,1,0,0,0,0,3,0,0,0,0,0
Perry,1,1,0,0,3,0,0,2,1,1,2,3,0
Pickaway,1,1,1,2,4,3,2,0,0,1,2,4,0
Pike,1,1,3,1,2,1,2,2,3,1,3,2,1
Portage,1,2,0,2,1,1,6,4,4,6,6,4,0
Preble,0,3,0,1,0,0,1,2,3,4,4,0,0
Putnam,0,1,0,1,0,0,2,2,2,1,0,0,0
Richland,1,3,2,3,4,5,3,4,4,13,4,4,3
Ross,5,3,13,9,9,5,5,10,11,10,8,6,1
Sandusky,1,1,0,0,0,0,2,6,3,4,4,7,0
Scioto,5,9,8,6,6,2,1,3,2,5,6,4,2
Seneca,0,0,1,0,2,2,5,3,0,2,2,0,0
Shelby,0,1,1,1,0,1,1,1,1,1,3,0,0
Stark,3,3,1,13,14,14,19,13,22,20,17,8,3
Summit,11,6,12,16,13,25,13,20,12,57,38,5,5
Trumbull,10,10,6,18,11,7,9,16,20,16,13,14,2
Tuscarawas,0,0,1,1,5,2,2,2,1,1,5,2,1
Union,0,0,2,6,0,1,3,4,2,3,1,0,0
Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0
Van Wert,1,0,1,1,5,1,4,2,0,0,2,0,0
Vinton,2,0,1,0,1,1,0,0,1,0,0,1,0
Warren,2,2,2,7,3,4,4,3,7,6,9,4,0
Washington,0,0,1,0,0,0,0,5,1,4,0,3,1
Wayne,0,3,0,0,1,2,0,2,8,13,0,2,0
Williams,0,0,1,2,0,0,3,1,0,0,0,1,0
Wood,0,2,4,1,1,1,1,10,10,4,2,2,1
Wyandot,0,0,0,0,0,0,0,0,1,3,0,2,0
